id,document,label
9976970,아 더빙 진짜 짜증 나네요 목소리,0
3819312,흠포스터보고 초등학생영화 줄 오버 연기조차 가볍지 않구나,1
10265843,너무재밓었다그래서보는것을추천한다,0
9045019,교도소 이야기구먼 솔직히 재미는 없다 평점 조정,0
6483659,사이먼 페그의 익살스러운 연기가 돋보였던 영화 스파이더맨에서 늙어 보이기만 했던 커스틴 던스트가 너무나도 이뻐 보였다,1
5403919,막 걸음마 뗀 세부터 초등학교 학년생인 살용 영화ㅋㅋㅋ 별 반 개도 아까움,0
7797314,원작의 긴장감을 제대로 살려내지 못했다,0
9443947,별 반 개도 아깝다 욕 나온다 이응경 길용우 연기생활이 몇 년인지 정말 발로해도 그것보단 낫겠다 납치 감금만 반복 반복이 드라마는 가족도 없다 연기 못하는 사람만 모였네,0
7156791,액션이 없는데도 재미있는 몇 안 되는 영화,1
5912145,왜 이렇게 평점이 낮은 건데 꽤 볼만한데 할리우드식 화려함에만 너무 길들여져 있나,1
9008700,그냥 인피니트가 최고다 진짜 최고다,1
10217543,볼 때마다 눈물 나서 죽겠다 연대의 향수 자극 허진호는 감성 절제 멜로의 달인이다,1
5957425,울면서 손들고 횡단보도 건널 때 뛰쳐나올 뻔 이범수 연기 더럽게 못해,0
8628627,담백하고 깔끔해서 좋다 신문기사로만 보다 보면 자꾸 잊어버린다 그들도 사람이었다는 것을,1
9864035,취향은 존중한다지만 진짜 내 생에 극장에서 본 영화 중 가장 나 잼 노 감독임 스토리도 억지고 감동도 억지,0
6852435,ㄱ냥 매번 긴장되고 재밌음ᅲᅲ,1
9143163,참 사람들 웃긴 게 바스코가 이기면 락스 코라고 까고 바비가 이기면 아이돌이라고 깐 다 그냥 까고 싶어서 안달 난 것처럼 보인다,1
4891476,굿바이 레닌 표절인 것은 이해하는데 왜 뒤로 갈수록 재미 없어지냐,0
7465483,이건 정말 깨알 캐스팅과 질퍽하지 않은 산뜻한 내용 구성이 잘 버무려진 깨알 일드,1
3989148,약탈자를 위한 변명이라 저놈들은 착한 놈들 절대 아닌걸요,1
4581211,나름 심오한 뜻도 있는 듯 그냥 학생이 선생과 놀아나는 영화는 절대 아님,1
2718894,보면서 웃지 않는 건 불가능하다,1
9705777,재미없다 지루하고 같은 음식 영화인데도 바베트의 만찬하고 너무 차이 남 바베트의 만찬은 이야기도 있고 음식 보는 재미도 있는데 이건 볼 게 없다 음식도 별로 안 나오고 핀란드 풍경이라도 구경할래는 데 그것도 별로 안 나옴 ㅡㅡ,0
471131,절대 평범한 영화가 아닌 수작이라는 걸 말씀드립니다,1
8480268,주제는 좋은데 중반부터 지루하다,0
4254115,다 잘랐을 거야 그래서 납득할 수 없었던 거야 그럴 거야 꼭 그랬던걸 꺼야,0
7295746,고추를 털어버려야 할 텐데,1
5457633,카밀라 벨 발연기,0
6091784,재밋는뎅,1
8322926,센스 있는 연출력 탁월한 캐스팅 연대의 향수 그래서 점,1
6331922,엄포스의 위력을 다시 한번 깨닫게 해준 적남 꽃검사님도 연기 정말 좋았어요 완전 명품 드라마,1
9005897,졸 쓰레기 진부하고 말도 안 됨ᄏᄏ 안 시간 아까워,0
164908,재밌는데 별점이 왜 이리 낮은고,1
9671124,라도 기대했던 내가 죄인입니다 죄인입니다,0
5712231,아직도 이 드라마는 내 인생의 최고,1
4726746,패션에 대한 열정 안 나 윈투어,1
7203432,키이라 나이틀리가 연기하고자 했던 건 대체 정신장애일까 틱장애일까,0
112724,허허 원 작가 정신 나간 유령이라 재미있겠네요,1
